collectDate,uva_250,uva_280,dtpr,site
5/28/19 17:36,0.078,0.0536,5/28/19 17:30,BIGC
6/3/19 23:15,0.0728,0.052,6/3/19 23:15,BIGC
6/4/19 17:45,0.0706,0.0481,6/4/19 17:45,BIGC
6/12/19 17:25,0.067,0.0456,6/12/19 17:30,BIGC
6/24/19 18:02,0.0825,0.0604,6/24/19 18:00,BIGC
7/1/19 17:33,0.087033333,0.0592,7/1/19 17:30,BIGC
7/15/19 17:12,0.0626,0.0316,7/15/19 17:15,BIGC
9/4/19 18:40,0.0537,0.0393,9/4/19 18:45,BIGC
9/10/19 17:01,0.0362,0.0247,9/10/19 17:00,BIGC
9/18/19 17:41,0.027,0.017,9/18/19 17:45,BIGC
10/8/19 18:00,0.0027,0.0139,10/8/19 18:00,BIGC
11/5/19 18:06,0.0427,0.0325,11/5/19 18:00,BIGC
12/4/19 18:25,0.231633333,0.165433333,12/4/19 18:30,BIGC
1/7/20 18:45,NA,0.0213,1/7/20 18:45,BIGC
2/11/20 17:13,NA,0.0277,2/11/20 17:15,BIGC
2/25/20 17:49,NA,0.0343,2/25/20 17:45,BIGC
3/10/20 17:59,NA,0.0299,3/10/20 18:00,BIGC
7/7/20 16:42,NA,0.0284,7/7/20 16:45,BIGC
10/20/20 16:50,NA,0.010833333,10/20/20 16:45,BIGC
3/6/18 16:13,0.0604,0.0427,3/6/18 16:15,BLDE
3/13/18 14:35,0.0859,0.0597,3/13/18 14:30,BLDE
4/3/18 15:48,0.0935,0.0617,4/3/18 15:45,BLDE
4/17/18 18:30,0.0066,0.0043,4/17/18 18:30,BLDE
5/1/18 15:28,0.066,0.0493,5/1/18 15:30,BLDE
5/9/18 5:52,0.3628,0.2499,5/9/18 5:45,BLDE
5/15/18 16:41,0.2448,0.1668,5/15/18 16:45,BLDE
5/22/18 19:00,0.2638,0.1826,5/22/18 19:00,BLDE
5/29/18 16:50,0.2237,0.7191,5/29/18 16:45,BLDE
6/5/18 16:55,0.1566,0.1112,6/5/18 17:00,BLDE
6/12/18 18:21,0.1489,0.1006,6/12/18 18:15,BLDE
6/19/18 16:30,0.22,0.151,6/19/18 16:30,BLDE
6/25/18 16:30,0.1328,0.0879,6/25/18 16:30,BLDE
7/2/18 16:30,0.1134,0.0762,7/2/18 16:30,BLDE
7/10/18 18:05,0.0894,0.0571,7/10/18 18:00,BLDE
7/17/18 17:55,0.0833,0.0576,7/17/18 18:00,BLDE
8/7/18 18:45,0.07,0.0483,8/7/18 18:45,BLDE
8/14/18 17:33,0.0712,0.0479,8/14/18 17:30,BLDE
9/4/18 18:00,0.0668,0.0442,9/4/18 18:00,BLDE
9/17/18 15:46,0.0641,0.0439,9/17/18 15:45,BLDE
10/2/18 18:45,0.0714,0.0486,10/2/18 18:45,BLDE
11/6/18 18:45,0.0826,0.0575,11/6/18 18:45,BLDE
11/13/18 18:18,0.0695,0.0469,11/13/18 18:15,BLDE
12/4/18 19:00,0.0592,0.04,12/4/18 19:00,BLDE
1/30/19 18:55,0.061,0.0403,1/30/19 19:00,BLDE
2/5/19 18:30,0.059833333,0.039833333,2/5/19 18:30,BLDE
3/5/19 19:40,0.1131,0.0763,3/5/19 19:45,BLDE
3/12/19 17:50,0.058,0.0389,3/12/19 17:45,BLDE
4/3/19 16:45,0.083766667,0.0578,4/3/19 16:45,BLDE
5/2/19 16:55,0.2411,0.1668,5/2/19 17:00,BLDE
5/7/19 18:20,0.2394,0.1654,5/7/19 18:15,BLDE
5/20/19 18:35,0.2234,0.1528,5/20/19 18:30,BLDE
5/28/19 19:11,0.2322,0.1624,5/28/19 19:15,BLDE
6/4/19 15:51,0.1722,0.1193,6/4/19 15:45,BLDE
6/10/19 16:59,0.1557,0.1054,6/10/19 17:00,BLDE
6/13/19 16:25,0.323733333,0.225433333,6/13/19 16:30,BLDE
6/17/19 17:30,0.1965,0.1348,6/17/19 17:30,BLDE
6/20/19 18:30,0.1569,0.1137,6/20/19 18:30,BLDE
6/25/19 17:46,0.1314,0.0947,6/25/19 17:45,BLDE
7/2/19 18:25,0.1229,0.0809,7/2/19 18:30,BLDE
7/8/19 15:42,0.1103,0.0699,7/8/19 15:45,BLDE
7/15/19 19:01,0.1161,0.0755,7/15/19 19:00,BLDE
8/5/19 18:19,0.1091,0.0738,8/5/19 18:15,BLDE
8/12/19 18:39,0.1012,0.068,8/12/19 18:45,BLDE
9/4/19 18:58,0.0984,0.075,9/4/19 19:00,BLDE
9/16/19 17:05,0.0876,0.0621,9/16/19 17:00,BLDE
10/1/19 19:30,0.0993,0.0721,10/1/19 19:30,BLDE
11/7/19 17:14,0.0593,0.0428,11/7/19 17:15,BLDE
11/12/19 18:13,0.1012,0.0765,11/12/19 18:15,BLDE
2/4/20 18:30,NA,0.4754,2/4/20 18:30,BLDE
3/3/20 17:15,NA,0.0449,3/3/20 17:15,BLDE
3/18/20 16:55,NA,0.053,3/18/20 17:00,BLDE
6/23/20 17:42,NA,0.0655,6/23/20 17:45,BLDE
6/29/20 16:59,NA,0.1086,6/29/20 17:00,BLDE
7/6/20 15:33,NA,0.067,7/6/20 15:30,BLDE
7/13/20 16:42,NA,0.0673,7/13/20 16:45,BLDE
8/11/20 15:38,NA,0.0529,8/11/20 15:45,BLDE
8/25/20 14:25,NA,0.0432,8/25/20 14:30,BLDE
9/1/20 15:10,NA,0.0491,9/1/20 15:15,BLDE
9/14/20 16:12,NA,0.0405,9/14/20 16:15,BLDE
10/8/20 14:55,NA,0.048966667,10/8/20 15:00,BLDE
10/20/20 14:35,NA,0.0687,10/20/20 14:30,BLDE
1/31/17 11:15,0.0177,0.0121,1/31/17 11:15,BLUE
2/6/17 11:59,0.0355,0.0328,2/6/17 12:00,BLUE
2/14/17 12:22,0.142,0.1035,2/14/17 12:15,BLUE
3/9/17 9:47,0.0325,0.0258,3/9/17 9:45,BLUE
3/28/17 12:40,0.023,0.0133,3/28/17 12:45,BLUE
4/3/17 11:13,0.0189,0.0116,4/3/17 11:15,BLUE
4/11/17 11:45,0.0337,0.0282,4/11/17 11:45,BLUE
5/2/17 12:45,0.0274,0.0209,5/2/17 12:45,BLUE
5/3/17 15:19,0.0267,0.0192,5/3/17 15:15,BLUE
5/11/17 11:12,0.0189,0.0107,5/11/17 11:15,BLUE
5/22/17 12:00,0.0964,0.0694,5/22/17 12:00,BLUE
6/13/17 20:39,0.0326,0.0248,6/13/17 20:45,BLUE
6/19/17 21:05,0.0211,0.0112,6/19/17 21:00,BLUE
6/27/17 18:45,0.0185,0.0099,6/27/17 18:45,BLUE
7/25/17 12:55,0.0233,0.0153,7/25/17 13:00,BLUE
7/31/17 16:03,0.0235,0.0197,7/31/17 16:00,BLUE
8/15/17 15:52,0.02335,0.016,8/15/17 15:45,BLUE
8/16/17 16:31,0.0206,0.0124,8/16/17 16:30,BLUE
9/12/17 16:44,0.0202,0.0121,9/12/17 16:45,BLUE
10/10/17 16:45,0.0284,0.0228,10/10/17 16:45,BLUE
10/11/17 16:00,0.0227,0.01445,10/11/17 16:00,BLUE
11/20/17 17:43,0.0182,0.0092,11/20/17 17:45,BLUE
11/21/17 20:36,0.0068,0.0054,11/21/17 20:30,BLUE
12/12/17 16:42,0.0133,0.01,12/12/17 16:45,BLUE
12/14/17 16:27,0.0102,0.0051,12/14/17 16:30,BLUE
1/9/18 16:45,0.0168,0.0141,1/9/18 16:45,BLUE
2/7/18 18:18,0.0129,0.0092,2/7/18 18:15,BLUE
2/13/18 17:46,0.0083,0.0041,2/13/18 17:45,BLUE
3/8/18 17:43,0.0284,0.0214,3/8/18 17:45,BLUE
3/13/18 14:35,0.0298,0.0223,3/13/18 14:30,BLUE
4/2/18 17:11,0.1256,0.0862,4/2/18 17:15,BLUE
4/17/18 18:28,0.0177,0.0085,4/17/18 18:30,BLUE
5/2/18 15:30,0.0197,0.0136,5/2/18 15:30,BLUE
5/8/18 16:05,0.0604,0.04,5/8/18 16:00,BLUE
5/9/18 15:43,0.0503,0.0355,5/9/18 15:45,BLUE
5/21/18 17:10,0.0292,0.0196,5/21/18 17:15,BLUE
5/29/18 16:19,0.0201,-0.2234,5/29/18 16:15,BLUE
6/12/18 16:35,0.0173,0.0075,6/12/18 16:30,BLUE
6/19/18 17:15,0.0083,0.0019,6/19/18 17:15,BLUE
6/27/18 16:05,0.0245,0.0165,6/27/18 16:00,BLUE
7/10/18 15:43,0.0153,0.0094,7/10/18 15:45,BLUE
7/17/18 15:31,0.0158,0.0121,7/17/18 15:30,BLUE
8/16/18 15:49,0.1034,0.0751,8/16/18 15:45,BLUE
8/28/18 15:22,0.0173,0.0124,8/28/18 15:15,BLUE
9/11/18 15:58,0.0547,0.0381,9/11/18 16:00,BLUE
10/23/18 17:52,0.0639,0.0483,10/23/18 17:45,BLUE
11/19/18 17:33,0.0309,0.0253,11/19/18 17:30,BLUE
11/20/18 16:36,0.0238,0.0155,11/20/18 16:30,BLUE
12/11/18 18:05,0.0185,0.0153,12/11/18 18:00,BLUE
12/13/18 17:30,0.0243,0.0163,12/13/18 17:30,BLUE
1/29/19 19:03,0.0134,0.0107,1/29/19 19:00,BLUE
2/13/19 17:27,0.0707,0.0515,2/13/19 17:30,BLUE
2/19/19 17:57,0.0199,0.0145,2/19/19 18:00,BLUE
3/19/19 17:15,0.0383,0.0236,3/19/19 17:15,BLUE
3/21/19 17:52,0.0294,0.019,3/21/19 17:45,BLUE
4/4/19 18:11,0.0298,0.0235,4/4/19 18:15,BLUE
4/9/19 20:04,0.0255,0.0163,4/9/19 20:00,BLUE
5/7/19 17:00,0.042066667,0.028233333,5/7/19 17:00,BLUE
5/13/19 16:45,0.1239,0.0891,5/13/19 16:45,BLUE
5/15/19 17:40,0.0396,0.0298,5/15/19 17:45,BLUE
5/29/19 16:30,0.0355,0.0253,5/29/19 16:30,BLUE
5/30/19 17:57,0.0282,0.0175,5/30/19 18:00,BLUE
6/11/19 15:59,0.0826,0.058066667,6/11/19 16:00,BLUE
6/17/19 17:30,0.0408,0.0286,6/17/19 17:30,BLUE
6/27/19 18:51,0.0456,0.0364,6/27/19 18:45,BLUE
7/9/19 16:32,0.0347,0.0243,7/9/19 16:30,BLUE
7/16/19 17:22,0.021433333,0.0154,7/16/19 17:15,BLUE
8/13/19 16:47,0.0238,0.0243,8/13/19 16:45,BLUE
8/15/19 19:26,0.0292,0.0116,8/15/19 19:30,BLUE
9/24/19 17:30,0.0141,0.0119,9/24/19 17:30,BLUE
10/8/19 18:30,-0.0179,0.0165,10/8/19 18:30,BLUE
10/14/19 16:16,0.0207,0.016,10/14/19 16:15,BLUE
11/12/19 17:35,0.06,0.0493,11/12/19 17:30,BLUE
11/14/19 19:25,0.023,0.0153,11/14/19 19:30,BLUE
12/10/19 17:43,0.036,0.0255,12/10/19 17:45,BLUE
12/16/19 16:32,0.015,0.0097,12/16/19 16:30,BLUE
1/21/20 20:21,NA,0.0491,1/21/20 20:15,BLUE
2/6/20 16:51,NA,0.0894,2/6/20 16:45,BLUE
2/11/20 17:01,NA,0.0644,2/11/20 17:00,BLUE
3/5/20 19:41,NA,0.0153,3/5/20 19:45,BLUE
3/17/20 17:30,NA,0.0542,3/17/20 17:30,BLUE
10/4/16 15:47,0.0794,0.052,10/4/16 15:45,BLWA
11/16/16 19:57,0.0592,0.0388,11/16/16 20:00,BLWA
11/22/16 18:55,0.0621,0.0417,11/22/16 19:00,BLWA
12/1/16 18:25,0.0631,0.04,12/1/16 18:30,BLWA
12/13/16 17:40,0.0634,0.0381,12/13/16 17:45,BLWA
1/12/17 18:16,0.1112,0.0828,1/12/17 18:15,BLWA
1/24/17 19:10,0.1046,0.0714,1/24/17 19:15,BLWA
2/1/17 18:30,0.0833,0.0559,2/1/17 18:30,BLWA
2/15/17 18:33,0.111,0.0772,2/15/17 18:30,BLWA
3/1/17 16:35,0.0913,0.0615,3/1/17 16:30,BLWA
3/7/17 19:01,0.1029,0.0734,3/7/17 19:00,BLWA
3/22/17 17:11,0.1061,0.0757,3/22/17 17:15,BLWA
4/11/17 17:27,0.1001,0.0592,4/11/17 17:30,BLWA
4/20/17 18:20,0.1182,0.0811,4/20/17 18:15,BLWA
